,title,total_sales,japan_sales,na_sales,pal_sales,other_sales,platform,developer
1020,Tony Hawk's Pro Skater 4,3.67,0.01,2.13,1.18,0.35,PS2,Neversoft Entertainment
1021,Midnight Club 3: DUB Edition,3.66,,1.65,1.22,0.79,PSP,Rockstar Leeds
1022,MySims,3.66,0.08,1.58,1.6,0.4,DS,EA Redwood Shores
1025,SOCOM: U.S. Navy SEALs,3.65,0.06,2.53,0.81,0.24,PS2,Zipper Interactive
1026,Battlefield 4,3.64,0.27,1.31,1.5,0.55,PS3,EA DICE
1027,Jak and Daxter: The Precursor Legacy,3.64,0.15,2.08,1.09,0.33,PS2,Naughty Dog
1030,Pro Evolution Soccer 2008,3.63,0.64,0.05,,2.93,PS2,Konami
1031,FIFA Soccer 10,3.63,0.05,0.6,2.46,0.52,PS3,EA Canada
1032,Guitar Hero: World Tour,3.62,,2.32,0.96,0.34,Wii,Vicarious Visions
1033,Star Wars Battlefront,3.61,0.03,1.93,1.22,0.44,PS2,Pandemic Studios
1034,Doom II,3.61,,2.05,1.4,0.16,PC,id Software
1035,The Simpsons: Road Rage,3.61,,2.02,1.17,0.42,PS2,Radical Entertainment
1042,Assassin's Creed Syndicate,3.6,0.08,0.9,2.06,0.55,PS4,Ubisoft Quebec
1043,Star Wars Battlefront II,3.59,0.03,2.18,1.02,0.37,PS2,Pandemic Studios
1044,Assassin's Creed: Unity,3.58,,2.34,0.9,0.34,XOne,Ubisoft Montreal
1045,Cooking Mama 2: Dinner With Friends,3.58,0.1,1.6,1.49,0.39,DS,Office Create
1047,WWF SmackDown!,3.58,0.06,2.01,1.35,0.16,PS,Yuke's
1048,Battlefield 4,3.54,0.02,2.16,1.05,0.32,X360,EA DICE
1049,Grand Theft Auto: Liberty City Stories,3.54,0.07,1.56,1.4,0.5,PS2,Rockstar Leeds
1050,The Getaway,3.54,0.05,1.23,1.77,0.49,PS2,Team Soho
1051,Tomb Raider III: Adventures of Lara Croft,3.54,0.12,1.66,1.58,0.18,PS,Core Design Ltd.
1052,Batman: Arkham Asylum,3.54,0.02,2.24,0.95,0.33,X360,Rocksteady Studios
1053,Assassin's Creed: Brotherhood,3.53,0.03,2.87,0.39,0.25,X360,Ubisoft Montreal
1054,James Bond 007: Agent Under Fire,3.53,0.1,1.9,1.13,0.41,PS2,EA Redwood Shores
1056,LEGO Star Wars: The Video Game,3.53,0.01,1.98,1.14,0.41,PS2,Traveller's Tales
1057,Resident Evil 5,3.53,0.12,2.13,0.93,0.34,X360,Capcom
1058,Rugrats in Paris: The Movie,3.52,,1.96,1.33,0.23,PS,Avalanche Software
1059,NBA 2K17,3.52,0.03,2.28,0.59,0.63,PS4,Visual Concepts
1060,FIFA Soccer 11,3.52,0.02,0.71,2.39,0.4,X360,EA Canada
1086,FIFA Soccer 2004,3.49,0.04,0.59,2.36,0.51,PS2,EA Canada
1088,Mortal Kombat X,3.49,,1.94,0.94,0.61,PS4,NetherRealm Studios
1089,Battlefield: Bad Company 2,3.48,0.04,2.11,1.01,0.33,X360,EA Digital Illusions CE
1091,Borderlands,3.48,0.03,2.43,0.72,0.3,X360,Gearbox Software
1092,Mario & Sonic at the Olympic Winter Games,3.47,0.27,1.21,1.63,0.37,DS,Sega
1094,Guitar Hero: On Tour,3.46,0.01,2.1,1.01,0.35,DS,Vicarious Visions
1097,Halo: The Master Chief Collection,3.44,0.03,2.06,1.04,0.31,XOne,343 Industries
1099,LEGO Batman: The Videogame,3.44,,2.07,1.04,0.34,X360,Traveller's Tales
1100,Tekken 4,3.44,0.33,1.55,1.27,0.29,PS2,Namco
1101,FIFA 14,3.43,0.12,0.62,2.18,0.51,PS4,EA Canada
1103,LittleBigPlanet 2,3.43,0.06,1.83,1.07,0.47,PS3,Media Molecule
1104,Grand Theft Auto 2,3.42,,1.13,2.07,0.22,PS,DMA Design
1105,Destiny,3.41,,2.17,0.92,0.32,XOne,Bungie
1106,Spider-Man 2,3.41,0.02,1.75,1.2,0.43,PS2,Treyarch
1113,FIFA Soccer 2003,3.4,0.05,0.46,2.28,0.61,PS2,EA Canada
1115,Crash Bash,3.39,0.19,1.56,1.47,0.17,PS,Eurocom Entertainment Software
1116,Gears of War 4,3.38,,2.17,0.9,0.32,XOne,The Coalition
1119,The Elder Scrolls V: Skyrim Special Edition,3.36,0.08,1.24,1.5,0.54,PS4,Bethesda Softworks
1120,Watch Dogs 2,3.36,0.12,0.98,1.74,0.52,PS4,Ubisoft
1122,WWF War Zone,3.36,,2.47,0.76,0.13,PS,Iguana Entertainment
1125,Assassin's Creed IV: Black Flag,3.34,0.01,1.9,1.14,0.3,X360,Ubisoft Montreal
1126,NBA 2K18,3.34,0.04,2.13,0.57,0.59,PS4,Visual Concepts
1130,James Bond 007: Nightfire,3.33,0.12,1.45,1.29,0.46,PS2,Eurocom Entertainment Software
1131,Star Wars Episode III: Revenge of the Sith,3.32,0.03,1.47,1.39,0.43,PS2,The Collective
1132,Max Payne,3.31,0.05,1.99,1.05,0.22,PS2,Remedy Entertainment
1133,Madden NFL 16,3.3,,2.39,0.31,0.61,PS4,EA Tiburon
1140,The Lord of the Rings: The Return of the King,3.28,0.05,1.5,1.28,0.46,PS2,"Hypnos Entertainment, Inc."
1144,Madden NFL 17,3.28,,2.3,0.37,0.6,PS4,EA Tiburon
1145,True Crime: Streets of LA,3.27,0.02,1.89,1.05,0.31,PS2,Luxoflux
1146,Gran Turismo (PSP),3.27,0.31,0.51,1.59,0.86,PSP,Polyphony Digital
1147,Far Cry 3,3.27,0.1,0.88,1.79,0.5,PS3,Ubisoft Montreal
1149,FIFA 16,3.25,,0.92,2.1,0.24,XOne,EA Canada
1152,007: Tomorrow Never Dies,3.21,,1.72,1.33,0.16,PS,Black Ops Entertainment
1153,L.A. Noire,3.21,0.12,1.29,1.31,0.49,PS3,Team Bondi
1165,WWF SmackDown! 2: Know Your Role,3.2,0.07,1.76,1.21,0.16,PS,Yuke's
1166,Assassin's Creed IV: Black Flag,3.19,0.06,1.07,1.55,0.51,PS4,Ubisoft Montreal
1170,Enter the Matrix,3.18,0.09,1.78,1.12,0.19,PS2,Shiny Entertainment
1171,Assassin's Creed Odyssey,3.18,0.09,1.18,1.4,0.51,PS4,Ubisoft Quebec
1172,Fallout: New Vegas,3.17,0.1,1.54,1.04,0.49,PS3,Obsidian Entertainment
1174,Club Penguin: Elite Penguin Force,3.14,,1.87,0.97,0.3,DS,1st Playable Productions
1175,FIFA Soccer 08,3.14,,0.68,,2.46,PS2,EA Canada
1176,FIFA 18,3.14,,0.98,1.92,0.23,XOne,EA Vancouver
1177,Spider-Man,3.13,0.02,1.7,1.25,0.16,PS,Neversoft Entertainment
1178,Need for Speed III: Hot Pursuit,3.12,,2.14,0.86,0.13,PS,EA Canada
1179,The Elder Scrolls IV: Oblivion,3.12,0.14,1.69,0.86,0.44,PS3,4J Studios
1184,Resident Evil 6,3.12,0.88,0.88,0.97,0.39,PS3,Capcom
1185,Tom Clancy's Ghost Recon Wildlands,3.12,0.22,1.07,1.35,0.47,PS4,Ubisoft Paris
1186,NBA 2K13,3.11,0.01,2.62,0.21,0.28,X360,Visual Concepts
1187,Titanfall,3.11,0.04,1.88,0.91,0.28,XOne,Respawn Entertainment
1195,Mass Effect 2,3.1,0.03,1.99,0.81,0.27,X360,BioWare Edmonton
1197,Madden NFL 2002,3.08,0.01,2.5,0.16,0.42,PS2,EA Sports
1199,LEGO Batman: The Videogame,3.08,,1.8,0.98,0.29,Wii,Traveller's Tales
1200,Saints Row 2,3.07,0.02,1.98,0.79,0.28,X360,Volition Inc.
1203,The Sims: Vacation,3.07,,1.72,1.21,0.14,PC,Maxis
1204,Call of Duty: Ghosts,3.07,,1.92,0.86,0.28,XOne,Infinity Ward
1205,LEGO Batman: The Videogame,3.06,,1.75,1.02,0.29,DS,Traveller's Tales
1206,Borderlands 2,3.06,0.04,1.89,0.88,0.26,X360,Gearbox Software
1208,Kung Fu Panda,3.05,,1.91,0.84,0.29,X360,Luxoflux
1209,Mass Effect 3,3.04,0.03,1.94,0.84,0.24,X360,BioWare
1211,Metal Gear Solid V: The Phantom Pain,3.04,0.5,0.97,1.15,0.42,PS4,Kojima Productions
1212,Rayman,3.03,,1.54,1.33,0.16,PS,Ubisoft Montpellier
1213,Tom Clancy's Splinter Cell,3.02,,1.85,1.04,0.13,XB,Ubisoft
1280,WWE SmackDown! vs. Raw 2006,3.0,,1.57,1.02,0.41,PS2,Yuke's
1283,The Sims: Livin Large,2.99,,1.67,1.18,0.13,PC,Maxis
1284,World Soccer Winning Eleven 6 International,2.99,1.16,0.12,1.26,0.45,PS2,Konami Computer Entertainment Tokyo
1285,Far Cry 3,2.98,0.02,1.38,1.33,0.25,X360,Ubisoft Montreal
1292,Battlefield: Bad Company 2,2.96,0.08,1.33,1.11,0.44,PS3,EA Digital Illusions CE
1293,Hitman 2: Silent Assassin,2.96,0.04,1.36,1.15,0.41,PS2,IO Interactive
1295,Street Fighter IV,2.95,0.15,1.83,0.7,0.26,X360,Capcom / Dimps Corporation
1296,WWE SmackDown! vs. RAW 2006,2.94,0.04,1.45,1.11,0.33,PS2,Yuke's
1299,Pac-Man Collection,2.94,0.05,2.07,0.77,0.05,GBA,Mass Media
1303,Madden NFL 13,2.93,,2.53,0.16,0.24,X360,EA Tiburon
1304,Doom (2016),2.92,0.04,0.93,1.48,0.46,PS4,id Software
1305,Mass Effect,2.91,0.03,1.83,0.79,0.27,X360,BioWare Edmonton
1306,FIFA 15,2.91,,0.8,1.9,0.21,X360,EA Canada
1316,Mortal Kombat (2011),2.9,,1.98,0.54,0.38,PS3,NetherRealm Studios
1317,Sega Superstars Tennis,2.89,,1.75,0.86,0.28,X360,Sumo Digital
1318,Cooking Mama: Cook Off,2.89,0.05,1.41,1.12,0.3,Wii,Office Create
1319,Hot Shots Golf 3,2.89,1.38,0.99,0.32,0.2,PS2,Clap Hanz
1320,Call of Duty: Finest Hour,2.89,0.01,1.51,1.12,0.24,PS2,Spark Unlimited
1321,Syphon Filter,2.88,0.02,2.03,0.72,0.11,PS,Eidetic
1325,Imagine: Babyz,2.87,,1.3,1.26,0.31,DS,Visual Impact
1326,Mafia III,2.87,0.04,0.72,1.67,0.44,PS4,Hangar 13
1328,Colin McRae Rally,2.87,0.12,0.09,2.43,0.22,PS,Codemasters
1330,The Elder Scrolls III: Morrowind,2.86,0.03,2.09,0.63,0.11,XB,Bethesda Softworks
1332,Assassin's Creed: Brotherhood,2.85,0.11,1.87,0.57,0.3,PS3,Ubisoft Montreal
1339,Zumba Fitness 2,2.83,,1.52,1.05,0.26,Wii,"Pipeworks Software, Inc."
1340,Madden NFL 10,2.83,,2.52,0.09,0.22,X360,EA Tiburon
1341,BioShock,2.83,0.05,1.65,0.85,0.28,X360,2K Australia / 2K Boston
1344,WWE SmackDown! vs. Raw,2.83,0.04,1.32,1.08,0.39,PS2,Yuke's
1345,Finding Nemo,2.82,0.04,1.59,1.05,0.14,GBA,Vicarious Visions
1346,Medal of Honor,2.82,0.07,1.28,1.04,0.43,PS3,EA Los Angeles
1347,Diablo III: Ultimate Evil Edition,2.82,0.08,0.83,1.48,0.44,PS4,Blizzard Entertainment
1351,Gran Turismo (PSP),2.82,0.31,0.43,0.91,1.16,PSN,Polyphony Digital
1354,Need for Speed: Hot Pursuit,2.81,0.03,1.05,1.24,0.49,PS3,Criterion Games
1355,Imagine: Fashion Designer,2.81,,1.32,1.19,0.3,DS,Virtual Toys / Lexis Numerique
1356,Killzone 3,2.81,0.09,1.46,0.87,0.38,PS3,Guerrilla Games
1368,Hot Shots Golf,2.79,2.13,0.29,0.2,0.18,PS,Camelot Software Planning
1370,Skylanders: Spyro's Adventure,2.79,,1.35,1.15,0.3,Wii,Toys for Bob
1371,A Bug's Life,2.79,,1.96,0.72,0.11,PS,Traveller's Tales
1372,WWF SmackDown! Just Bring It,2.79,0.04,1.19,1.15,0.41,PS2,Yuke's
1373,Mortal Kombat Trilogy,2.79,,1.98,0.7,0.11,PS,Avalanche Software
1374,NBA Street,2.79,,2.19,0.22,0.38,PS2,NuFX
